ts,venda-0,venda-1
0,8.7,7.7
1,6.35,5.5
2,7.85,5.7
3,10.0,7.9
4,8.45,9.95
5,8.1,9.9
6,36.75,37.75
7,9.55,9.6
8,5.35,5.95
9,5.5,7.6
10,9.7,8.75
11,7.0,8.1
12,5.2,5.95
13,34.5,27.75
14,6.45,9.35
15,5.55,9.3
16,8.75,6.85
17,7.35,6.6
18,6.45,6.95
19,6.1,9.8
20,30.25,20.5
21,8.45,7.0
22,7.1,7.4
23,8.5,7.8
24,6.9,9.95
25,5.6,6.1
26,9.5,6.9
27,22.25,36.0
28,8.8,7.6
29,9.5,5.05
30,5.2,8.7
31,6.2,6.85
32,9.7,8.4
33,9.5,8.65
34,34.0,28.25
35,6.55,5.25
36,5.4,5.05
37,8.65,8.9
38,10.0,10.0
39,6.0,9.4
40,5.45,5.1
41,25.75,21.75
42,8.95,5.9
43,5.45,5.8
44,6.3,5.15
45,7.2,8.65
46,8.15,5.05
47,7.55,7.9
48,36.75,38.5
49,5.35,9.85
50,8.85,5.15
51,8.45,5.35
52,9.75,6.85
53,9.25,7.2
54,6.95,7.4
55,15.0,31.75
56,8.75,5.5
57,6.9,8.5
58,9.9,7.1
59,6.25,7.0
60,6.7,5.8
61,5.9,8.85
62,34.0,29.25
63,9.15,8.25
64,9.2,6.1
65,7.4,7.85
66,7.75,6.75
67,5.95,9.95
68,5.65,6.5
69,23.5,34.75
70,5.45,5.45
71,8.85,7.1
72,7.75,6.45
73,5.4,8.35
74,8.9,9.75
75,7.95,7.45
76,26.25,25.75
77,8.1,9.75
78,9.3,9.6
79,9.95,5.05
80,7.05,6.5
81,6.8,7.95
82,6.25,5.65
83,32.25,31.5
84,8.7,9.65
85,9.9,9.9
86,9.9,8.4
87,6.5,5.3
88,8.85,9.25
89,6.05,6.25
90,22.5,37.75
91,5.75,10.0
92,9.7,7.1
93,8.35,6.65
94,9.75,6.85
95,8.75,8.7
96,5.45,7.4
97,28.0,21.25
98,5.1,6.4
99,8.9,5.05
