ts,venda-0,venda-1,venda-2
0,7.55,6.3,8.45
1,8.3,8.6,7.55
2,7.65,5.6,6.5
3,7.6,5.35,6.7
4,8.7,8.15,8.75
5,8.9,7.6,5.8
6,35.5,15.75,19.0
7,5.3,8.1,9.5
8,6.25,7.1,9.6
9,9.9,6.1,6.45
10,8.8,6.65,10.0
11,8.2,9.9,9.25
12,7.85,5.75,6.35
13,20.25,19.25,38.0
14,7.2,6.05,9.8
15,6.55,8.0,8.3
16,6.4,9.75,9.2
17,7.35,5.6,5.25
18,8.05,7.65,8.3
19,9.3,8.45,7.35
20,25.75,17.0,22.5
21,7.15,8.75,7.3
22,7.75,9.7,8.05
23,7.95,7.8,6.45
24,9.6,9.4,8.1
25,8.4,5.3,7.95
26,8.95,6.6,5.3
27,33.0,19.25,17.5
28,9.8,7.1,8.0
29,8.75,6.95,5.9
30,5.3,7.2,5.4
31,6.95,5.05,6.9
32,5.6,5.3,8.45
33,8.05,7.7,5.95
34,28.75,27.5,22.25
35,5.45,6.7,8.2
36,7.5,7.2,9.4
37,6.05,9.2,8.1
38,7.0,8.45,7.95
39,5.15,6.55,7.65
40,6.55,7.65,6.25
41,34.25,22.0,27.5
42,7.6,5.7,9.35
43,9.3,6.3,5.55
44,8.7,9.0,9.2
45,5.1,9.7,9.3
46,7.0,8.15,6.8
47,8.15,6.2,7.3
48,32.5,38.0,24.75
49,5.0,7.65,9.0
50,8.0,5.75,5.4
51,7.75,5.0,6.9
52,7.9,7.3,8.15
53,6.6,9.55,7.6
54,7.35,7.95,9.65
55,15.5,21.25,35.0
56,5.55,7.2,8.45
57,8.5,7.8,8.5
58,9.9,6.0,9.75
59,6.35,8.5,9.15
60,6.05,6.3,7.35
61,7.05,5.45,6.65
62,39.0,27.5,16.5
63,9.9,5.35,9.3
64,7.3,7.15,5.9
65,9.65,9.5,8.6
66,5.1,7.15,7.35
67,8.75,8.75,8.25
68,7.25,7.55,8.8
69,24.75,31.25,37.75
70,7.95,5.35,6.7
71,9.2,6.5,6.35
72,6.95,9.05,8.6
73,8.2,7.35,7.35
74,5.05,5.35,5.15
75,8.6,6.15,9.55
76,38.0,31.25,37.75
77,8.95,6.3,7.6
78,6.1,5.35,9.7
79,5.35,7.75,7.1
80,5.4,7.45,9.85
81,5.95,7.65,9.95
82,9.5,7.05,8.0
83,20.25,23.75,24.25
84,6.3,8.0,5.1
85,9.8,8.35,6.1
86,9.4,8.05,8.65
87,5.3,6.8,6.1
88,6.45,5.6,5.1
89,6.15,6.55,5.0
90,20.5,29.5,16.0
91,7.5,8.2,7.9
92,8.95,8.9,7.4
93,6.9,8.8,5.3
94,8.3,9.65,6.55
95,7.85,8.2,5.15
96,8.4,5.9,6.3
97,25.0,24.0,38.0
98,7.4,7.95,9.1
99,8.8,6.05,9.8
