ts,venda-0,venda-1,venda-2,venda-3
0,8.7,7.7,5.0,9.55
1,6.35,5.5,5.35,6.55
2,7.85,5.7,8.5,9.95
3,10.0,7.9,9.55,5.85
4,8.45,9.95,6.15,7.1
5,8.1,9.9,5.05,9.85
6,36.75,37.75,23.0,28.75
7,9.55,9.6,6.55,7.65
8,5.35,5.95,9.15,8.7
9,5.5,7.6,9.55,8.5
10,9.7,8.75,7.35,9.1
11,7.0,8.1,6.6,9.2
12,5.2,5.95,5.75,5.8
13,34.5,27.75,37.5,29.5
14,6.45,9.35,7.3,9.15
15,5.55,9.3,5.2,5.1
16,8.75,6.85,8.4,9.15
17,7.35,6.6,9.8,7.45
18,6.45,6.95,8.35,7.8
19,6.1,9.8,9.3,7.15
20,30.25,20.5,37.5,30.25
21,8.45,7.0,7.45,7.6
22,7.1,7.4,6.6,9.0
23,8.5,7.8,7.95,8.25
24,6.9,9.95,5.25,7.8
25,5.6,6.1,9.5,6.6
26,9.5,6.9,5.7,8.85
27,22.25,36.0,26.25,39.25
28,8.8,7.6,7.95,7.5
29,9.5,5.05,9.4,9.45
30,5.2,8.7,6.6,5.3
31,6.2,6.85,7.0,6.15
32,9.7,8.4,6.3,9.55
33,9.5,8.65,5.7,8.7
34,34.0,28.25,23.25,24.25
35,6.55,5.25,5.4,9.55
36,5.4,5.05,9.15,5.2
37,8.65,8.9,6.35,5.35
38,10.0,10.0,9.2,10.0
39,6.0,9.4,8.35,8.25
40,5.45,5.1,8.1,6.3
41,25.75,21.75,30.0,23.75
42,8.95,5.9,6.0,5.7
43,5.45,5.8,10.0,7.1
44,6.3,5.15,8.35,9.6
45,7.2,8.65,9.3,5.25
46,8.15,5.05,5.45,9.45
47,7.55,7.9,5.2,7.2
48,36.75,38.5,23.5,32.5
49,5.35,9.85,7.25,5.5
50,8.85,5.15,6.3,5.7
51,8.45,5.35,8.05,7.95
52,9.75,6.85,9.5,6.65
53,9.25,7.2,8.95,9.3
54,6.95,7.4,8.0,7.15
55,15.0,31.75,30.25,20.25
56,8.75,5.5,8.75,6.7
57,6.9,8.5,7.95,6.8
58,9.9,7.1,9.3,6.65
59,6.25,7.0,5.65,5.15
60,6.7,5.8,7.85,5.45
61,5.9,8.85,8.4,7.75
62,34.0,29.25,19.0,32.25
63,9.15,8.25,7.4,9.1
64,9.2,6.1,5.45,7.25
65,7.4,7.85,5.7,9.85
66,7.75,6.75,5.05,7.05
67,5.95,9.95,8.35,9.0
68,5.65,6.5,5.75,6.1
69,23.5,34.75,31.0,23.25
70,5.45,5.45,5.3,6.4
71,8.85,7.1,9.0,9.5
72,7.75,6.45,8.95,9.3
73,5.4,8.35,7.3,7.55
74,8.9,9.75,9.95,9.45
75,7.95,7.45,8.5,8.2
76,26.25,25.75,24.5,15.0
77,8.1,9.75,5.7,6.55
78,9.3,9.6,5.1,8.85
79,9.95,5.05,8.95,6.7
80,7.05,6.5,8.2,8.0
81,6.8,7.95,9.8,8.65
82,6.25,5.65,5.0,9.9
83,32.25,31.5,35.25,26.75
84,8.7,9.65,7.25,9.8
85,9.9,9.9,5.75,9.25
86,9.9,8.4,5.7,9.9
87,6.5,5.3,7.85,7.55
88,8.85,9.25,9.85,7.15
89,6.05,6.25,7.35,8.75
90,22.5,37.75,36.5,17.25
91,5.75,10.0,7.3,7.25
92,9.7,7.1,6.4,9.7
93,8.35,6.65,7.55,6.1
94,9.75,6.85,7.5,6.95
95,8.75,8.7,6.35,6.75
96,5.45,7.4,8.6,8.65
97,28.0,21.25,26.75,36.0
98,5.1,6.4,7.1,8.5
99,8.9,5.05,9.7,6.85
