ts,venda-0,venda-1,venda-2,venda-3,venda-4,venda-5,venda-6
0,7.55,6.3,8.45,5.45,9.65,9.65,6.3
1,8.3,8.6,7.55,7.45,6.05,8.85,7.75
2,7.65,5.6,6.5,5.7,6.7,8.05,8.75
3,7.6,5.35,6.7,5.9,5.3,7.55,9.45
4,8.7,8.15,8.75,5.95,8.0,5.5,6.55
5,8.9,7.6,5.8,7.15,5.6,6.25,5.6
6,35.5,15.75,19.0,20.25,22.5,36.75,29.75
7,5.3,8.1,9.5,7.5,6.2,6.5,9.7
8,6.25,7.1,9.6,8.7,7.1,9.15,9.6
9,9.9,6.1,6.45,5.05,8.6,9.05,8.7
10,8.8,6.65,10.0,8.0,8.7,7.75,6.3
11,8.2,9.9,9.25,9.65,8.4,5.2,6.65
12,7.85,5.75,6.35,8.85,8.2,7.55,9.0
13,20.25,19.25,38.0,28.25,35.25,31.0,29.25
14,7.2,6.05,9.8,9.7,6.0,9.5,9.9
15,6.55,8.0,8.3,5.4,6.9,5.55,6.95
16,6.4,9.75,9.2,7.1,9.9,7.5,6.25
17,7.35,5.6,5.25,6.8,7.2,5.1,6.2
18,8.05,7.65,8.3,8.9,8.1,7.45,7.7
19,9.3,8.45,7.35,6.35,5.9,8.8,7.55
20,25.75,17.0,22.5,33.0,23.25,18.75,24.75
21,7.15,8.75,7.3,6.9,7.1,9.05,8.85
22,7.75,9.7,8.05,6.6,6.65,5.45,6.15
23,7.95,7.8,6.45,5.9,6.35,5.0,7.9
24,9.6,9.4,8.1,9.0,6.25,8.4,5.85
25,8.4,5.3,7.95,7.15,7.45,9.15,8.95
26,8.95,6.6,5.3,9.85,7.45,9.0,6.8
27,33.0,19.25,17.5,37.75,34.5,20.25,35.75
28,9.8,7.1,8.0,10.0,5.75,6.0,9.2
29,8.75,6.95,5.9,7.2,8.5,8.75,6.25
30,5.3,7.2,5.4,8.25,9.25,6.4,8.9
31,6.95,5.05,6.9,9.15,8.45,8.95,7.7
32,5.6,5.3,8.45,6.4,7.0,6.85,9.15
33,8.05,7.7,5.95,6.2,7.95,7.65,6.85
34,28.75,27.5,22.25,29.25,22.25,29.0,25.25
35,5.45,6.7,8.2,9.15,6.7,8.75,9.9
36,7.5,7.2,9.4,8.75,9.7,9.55,5.25
37,6.05,9.2,8.1,6.35,8.5,6.9,9.7
38,7.0,8.45,7.95,5.5,9.0,9.6,8.9
39,5.15,6.55,7.65,6.65,8.8,7.6,6.45
40,6.55,7.65,6.25,6.1,5.95,5.65,9.45
41,34.25,22.0,27.5,37.75,28.75,23.0,34.25
42,7.6,5.7,9.35,7.1,9.25,5.0,9.9
43,9.3,6.3,5.55,6.85,5.55,6.8,8.9
44,8.7,9.0,9.2,6.2,7.4,7.05,7.65
45,5.1,9.7,9.3,7.9,5.15,5.8,7.15
46,7.0,8.15,6.8,5.85,7.15,9.2,8.8
47,8.15,6.2,7.3,8.3,7.45,9.95,6.5
48,32.5,38.0,24.75,23.75,38.75,34.5,17.0
49,5.0,7.65,9.0,9.8,6.0,5.45,6.2
50,8.0,5.75,5.4,7.8,7.9,7.8,9.15
51,7.75,5.0,6.9,9.7,6.95,7.45,6.75
52,7.9,7.3,8.15,5.4,7.95,9.7,6.0
53,6.6,9.55,7.6,8.0,5.75,8.65,8.5
54,7.35,7.95,9.65,8.85,7.75,9.5,6.25
55,15.5,21.25,35.0,26.25,39.75,38.25,25.0
56,5.55,7.2,8.45,9.65,8.75,9.35,6.05
57,8.5,7.8,8.5,6.35,7.25,6.3,5.4
58,9.9,6.0,9.75,8.15,5.0,9.8,6.2
59,6.35,8.5,9.15,6.55,6.05,6.55,8.35
60,6.05,6.3,7.35,5.3,5.55,8.65,7.75
61,7.05,5.45,6.65,5.9,5.2,9.65,8.0
62,39.0,27.5,16.5,16.25,26.0,23.0,34.0
63,9.9,5.35,9.3,9.7,8.75,5.05,9.4
64,7.3,7.15,5.9,9.4,7.8,5.25,5.5
65,9.65,9.5,8.6,6.05,6.55,7.65,6.8
66,5.1,7.15,7.35,8.95,9.55,9.1,9.3
67,8.75,8.75,8.25,9.0,6.4,9.5,5.25
68,7.25,7.55,8.8,5.2,9.2,8.1,9.25
69,24.75,31.25,37.75,30.0,17.25,25.75,29.5
70,7.95,5.35,6.7,6.8,9.0,7.45,6.8
71,9.2,6.5,6.35,8.4,6.5,5.2,8.9
72,6.95,9.05,8.6,6.75,8.05,8.1,9.8
73,8.2,7.35,7.35,6.35,6.5,9.25,7.4
74,5.05,5.35,5.15,6.6,9.65,6.4,6.95
75,8.6,6.15,9.55,6.65,7.75,7.1,6.05
76,38.0,31.25,37.75,34.5,22.5,30.75,37.75
77,8.95,6.3,7.6,7.85,8.0,7.4,8.75
78,6.1,5.35,9.7,9.2,7.1,8.4,7.15
79,5.35,7.75,7.1,9.8,7.1,8.9,8.95
80,5.4,7.45,9.85,8.9,7.95,9.25,5.1
81,5.95,7.65,9.95,7.65,7.25,5.45,9.0
82,9.5,7.05,8.0,6.8,5.45,8.55,7.0
83,20.25,23.75,24.25,24.25,37.5,17.25,37.5
84,6.3,8.0,5.1,8.85,5.75,9.4,5.65
85,9.8,8.35,6.1,6.3,9.15,7.45,7.85
86,9.4,8.05,8.65,9.1,9.25,7.35,6.25
87,5.3,6.8,6.1,9.35,7.9,10.0,8.45
88,6.45,5.6,5.1,6.9,8.1,7.4,8.8
89,6.15,6.55,5.0,6.55,6.4,6.85,8.85
90,20.5,29.5,16.0,19.5,34.0,32.75,17.5
91,7.5,8.2,7.9,8.15,6.5,7.3,9.05
92,8.95,8.9,7.4,9.4,6.8,8.2,9.45
93,6.9,8.8,5.3,6.4,8.9,5.05,6.1
94,8.3,9.65,6.55,7.15,6.25,5.6,5.1
95,7.85,8.2,5.15,9.85,5.45,9.2,8.15
96,8.4,5.9,6.3,7.4,5.15,7.6,7.55
97,25.0,24.0,38.0,38.25,27.5,40.0,17.5
98,7.4,7.95,9.1,9.55,7.0,5.1,8.05
99,8.8,6.05,9.8,9.95,8.45,8.4,7.65
