ts,venda-0,venda-1,venda-2,venda-3,venda-4,venda-5,venda-6,venda-7,venda-8,venda-9
0,8.7,7.7,5.0,9.55,7.1,9.8,5.2,5.3,9.6,7.85
1,6.35,5.5,5.35,6.55,6.95,5.65,8.6,8.75,7.8,8.4
2,7.85,5.7,8.5,9.95,8.2,5.9,9.7,8.25,9.7,6.25
3,10.0,7.9,9.55,5.85,6.25,9.05,8.15,8.55,7.1,6.55
4,8.45,9.95,6.15,7.1,8.9,9.1,7.0,5.25,9.85,6.55
5,8.1,9.9,5.05,9.85,5.55,5.6,7.15,8.4,6.35,6.65
6,36.75,37.75,23.0,28.75,24.25,21.5,20.75,32.75,20.5,19.75
7,9.55,9.6,6.55,7.65,7.5,8.4,5.35,9.6,6.85,10.0
8,5.35,5.95,9.15,8.7,9.5,5.75,7.1,5.7,5.65,8.85
9,5.5,7.6,9.55,8.5,8.7,8.2,9.9,9.5,7.3,9.15
10,9.7,8.75,7.35,9.1,7.8,5.55,5.65,7.4,7.3,5.9
11,7.0,8.1,6.6,9.2,9.8,8.65,5.5,6.05,6.0,6.2
12,5.2,5.95,5.75,5.8,7.75,9.5,5.85,7.9,7.45,9.85
13,34.5,27.75,37.5,29.5,20.25,31.75,21.0,26.25,24.0,32.5
14,6.45,9.35,7.3,9.15,5.2,6.2,5.95,5.8,6.7,8.6
15,5.55,9.3,5.2,5.1,5.15,6.85,8.9,8.0,7.7,9.75
16,8.75,6.85,8.4,9.15,6.9,8.25,6.8,5.35,7.2,8.95
17,7.35,6.6,9.8,7.45,7.05,6.05,8.05,7.4,7.45,9.35
18,6.45,6.95,8.35,7.8,7.35,9.75,7.8,7.55,6.05,5.05
19,6.1,9.8,9.3,7.15,9.55,7.1,8.3,5.4,8.85,5.3
20,30.25,20.5,37.5,30.25,24.5,39.0,26.75,39.0,32.5,17.5
21,8.45,7.0,7.45,7.6,8.05,5.2,6.8,9.9,6.15,6.2
22,7.1,7.4,6.6,9.0,5.9,7.9,6.45,9.1,5.65,6.3
23,8.5,7.8,7.95,8.25,6.3,8.6,9.4,9.1,9.85,8.35
24,6.9,9.95,5.25,7.8,6.3,8.1,9.35,6.85,9.3,5.75
25,5.6,6.1,9.5,6.6,5.0,9.8,8.75,8.5,8.35,5.85
26,9.5,6.9,5.7,8.85,7.2,7.8,8.3,7.7,6.1,7.8
27,22.25,36.0,26.25,39.25,32.5,16.5,31.0,29.0,39.25,40.0
28,8.8,7.6,7.95,7.5,5.8,7.85,9.7,5.4,6.35,7.75
29,9.5,5.05,9.4,9.45,7.6,9.15,8.35,7.85,5.45,7.55
30,5.2,8.7,6.6,5.3,6.7,5.75,8.35,9.25,5.75,9.3
31,6.2,6.85,7.0,6.15,5.8,8.55,8.2,6.05,5.3,5.35
32,9.7,8.4,6.3,9.55,9.65,9.3,6.15,8.75,7.25,7.45
33,9.5,8.65,5.7,8.7,5.55,8.75,7.7,8.75,5.7,7.6
34,34.0,28.25,23.25,24.25,32.0,18.25,26.5,19.5,37.75,39.25
35,6.55,5.25,5.4,9.55,9.15,8.6,10.0,7.0,7.4,8.25
36,5.4,5.05,9.15,5.2,9.4,8.65,9.4,8.95,6.85,6.5
37,8.65,8.9,6.35,5.35,9.95,7.4,5.55,7.95,5.45,9.4
38,10.0,10.0,9.2,10.0,8.1,7.4,8.85,5.0,6.1,7.65
39,6.0,9.4,8.35,8.25,5.55,6.25,6.3,8.25,5.9,9.95
40,5.45,5.1,8.1,6.3,7.25,8.25,5.7,8.7,7.55,7.3
41,25.75,21.75,30.0,23.75,23.25,23.75,25.25,37.25,15.0,27.25
42,8.95,5.9,6.0,5.7,6.6,6.15,8.25,7.25,10.0,7.45
43,5.45,5.8,10.0,7.1,5.1,6.1,6.4,9.7,6.4,7.3
44,6.3,5.15,8.35,9.6,5.65,9.2,6.05,9.35,7.1,6.05
45,7.2,8.65,9.3,5.25,8.85,9.45,9.15,9.0,6.4,9.2
46,8.15,5.05,5.45,9.45,7.4,9.7,8.15,8.25,6.9,9.25
47,7.55,7.9,5.2,7.2,9.05,5.4,5.7,8.1,6.1,6.0
48,36.75,38.5,23.5,32.5,23.0,33.25,29.75,18.25,19.5,24.5
49,5.35,9.85,7.25,5.5,7.65,5.65,5.6,6.35,6.1,7.55
50,8.85,5.15,6.3,5.7,8.35,7.7,6.8,7.55,5.9,6.15
51,8.45,5.35,8.05,7.95,8.05,8.65,9.35,5.5,7.2,5.6
52,9.75,6.85,9.5,6.65,5.65,8.85,6.3,6.15,5.5,6.45
53,9.25,7.2,8.95,9.3,6.15,7.6,6.35,8.05,5.45,9.1
54,6.95,7.4,8.0,7.15,7.6,8.6,6.1,5.35,6.55,7.35
55,15.0,31.75,30.25,20.25,27.0,36.5,34.25,27.75,36.75,35.75
56,8.75,5.5,8.75,6.7,9.15,8.95,8.6,6.65,6.25,7.95
57,6.9,8.5,7.95,6.8,5.0,9.15,5.65,7.4,9.65,6.8
58,9.9,7.1,9.3,6.65,9.85,6.15,8.05,5.0,6.0,7.2
59,6.25,7.0,5.65,5.15,7.5,5.75,7.9,5.1,7.6,5.9
60,6.7,5.8,7.85,5.45,6.7,7.3,8.6,8.7,6.7,7.75
61,5.9,8.85,8.4,7.75,8.85,8.25,9.55,7.4,8.95,8.4
62,34.0,29.25,19.0,32.25,15.0,38.25,17.25,16.5,27.25,31.5
63,9.15,8.25,7.4,9.1,5.3,6.25,7.55,8.65,6.2,7.95
64,9.2,6.1,5.45,7.25,5.1,9.7,8.5,6.8,10.0,7.35
65,7.4,7.85,5.7,9.85,5.8,5.85,7.5,9.65,5.35,5.85
66,7.75,6.75,5.05,7.05,7.75,10.0,6.4,8.0,9.7,6.45
67,5.95,9.95,8.35,9.0,7.95,9.05,7.95,5.95,5.4,8.3
68,5.65,6.5,5.75,6.1,6.8,5.65,6.2,8.3,7.25,5.1
69,23.5,34.75,31.0,23.25,15.25,26.0,22.25,38.75,33.0,21.5
70,5.45,5.45,5.3,6.4,7.6,7.3,7.25,9.05,7.4,7.3
71,8.85,7.1,9.0,9.5,6.05,9.25,9.35,7.5,9.25,8.05
72,7.75,6.45,8.95,9.3,7.3,9.35,5.95,8.0,8.35,6.6
73,5.4,8.35,7.3,7.55,5.95,8.95,9.15,7.45,9.95,9.65
74,8.9,9.75,9.95,9.45,7.25,6.45,7.55,7.05,8.45,7.1
75,7.95,7.45,8.5,8.2,9.25,6.85,8.25,9.25,6.0,6.35
76,26.25,25.75,24.5,15.0,26.25,27.25,16.5,33.5,26.25,28.0
77,8.1,9.75,5.7,6.55,7.35,9.05,7.45,9.8,7.9,5.5
78,9.3,9.6,5.1,8.85,7.05,7.4,6.85,9.05,8.45,5.85
79,9.95,5.05,8.95,6.7,9.8,8.05,5.35,9.45,8.7,6.0
80,7.05,6.5,8.2,8.0,6.1,7.35,8.85,9.6,8.25,7.1
81,6.8,7.95,9.8,8.65,6.75,6.9,6.05,9.15,5.8,9.85
82,6.25,5.65,5.0,9.9,6.6,7.75,7.1,9.75,7.05,8.55
83,32.25,31.5,35.25,26.75,35.25,17.25,19.25,36.25,19.75,37.0
84,8.7,9.65,7.25,9.8,5.6,8.1,9.3,7.55,5.1,7.5
85,9.9,9.9,5.75,9.25,6.8,9.1,5.2,5.0,5.6,6.55
86,9.9,8.4,5.7,9.9,9.5,8.2,8.85,8.3,5.05,8.3
87,6.5,5.3,7.85,7.55,6.7,8.3,6.65,5.45,5.9,5.65
88,8.85,9.25,9.85,7.15,8.2,6.3,9.95,9.55,9.95,7.85
89,6.05,6.25,7.35,8.75,5.1,10.0,7.3,6.9,5.65,9.7
90,22.5,37.75,36.5,17.25,23.5,36.75,28.75,36.5,20.0,38.75
91,5.75,10.0,7.3,7.25,5.15,7.55,8.95,9.9,7.0,6.95
92,9.7,7.1,6.4,9.7,5.35,8.2,6.1,8.45,5.35,8.8
93,8.35,6.65,7.55,6.1,8.6,6.35,8.4,7.1,10.0,8.8
94,9.75,6.85,7.5,6.95,6.0,10.0,7.6,8.25,7.55,9.55
95,8.75,8.7,6.35,6.75,7.65,7.4,8.65,5.05,7.7,9.95
96,5.45,7.4,8.6,8.65,5.7,6.25,8.7,5.9,9.5,8.25
97,28.0,21.25,26.75,36.0,22.25,27.0,24.75,21.75,34.75,22.5
98,5.1,6.4,7.1,8.5,9.25,5.3,5.9,9.2,9.3,6.55
99,8.9,5.05,9.7,6.85,6.85,8.55,7.0,6.25,9.4,7.5
